period_begin,med_sale_price
2017-01-02,497187.5
2017-01-09,495854.1
2017-01-16,494625.0
2017-01-23,494708.3
2017-01-30,496541.6
2017-02-06,498458.3
2017-02-13,492250.0
2017-02-20,494750.0
2017-02-27,498125.0
2017-03-06,495125.0
2017-03-13,500000.0
2017-03-20,502500.0
2017-03-27,483000.0
2017-04-03,506750.0
2017-04-10,500000.0
2017-04-17,502000.0
2017-04-24,505000.0
2017-05-01,544666.4
2017-05-08,547083.0
2017-05-15,536687.5
2017-05-22,538750.0
2017-05-29,545649.2
2017-06-05,556211.7
2017-06-12,552362.2
2017-06-19,551945.5
2017-06-26,560437.5
2017-07-03,558375.0
2017-07-10,560000.0
2017-07-17,549500.0
2017-07-24,549000.0
2017-07-31,552500.0
2017-08-07,547000.0
2017-08-14,548250.0
2017-08-21,536562.5
2017-08-28,525000.0
2017-09-04,550000.0
2017-09-11,506562.5
2017-09-18,517770.8
2017-09-25,520687.5
2017-10-02,524854.1
2017-10-09,525770.8
2017-10-16,526333.3
2017-10-23,529250.0
2017-10-30,532166.6
2017-11-06,533000.0
2017-11-13,533358.8
2017-11-20,532108.8
2017-11-27,535625.0
2017-12-04,528375.0
2017-12-11,534000.0
2017-12-18,536500.0
2017-12-25,501000.0
2018-01-01,535000.0
2018-01-08,560000.0
2018-01-15,529826.5
2018-01-22,510000.0
2018-01-29,519306.0
2018-02-05,530000.0
2018-02-12,570000.0
2018-02-19,489000.0
2018-02-26,525000.0
2018-03-05,535375.0
2018-03-12,528875.0
2018-03-19,535000.0
2018-03-26,534875.0
2018-04-02,532250.0
2018-04-09,550000.0
2018-04-16,545000.0
2018-04-23,510000.0
2018-04-30,530000.0
2018-05-07,575000.0
2018-05-14,540000.0
2018-05-21,552062.5
2018-05-28,558312.5
2018-06-04,540250.0
2018-06-11,563000.0
2018-06-18,566250.0
2018-06-25,561250.0
2018-07-02,561875.0
2018-07-09,565567.5
2018-07-16,555000.0
2018-07-23,567500.0
2018-07-30,559770.0
2018-08-06,557031.2
2018-08-13,555531.2
2018-08-20,545000.0
2018-08-27,550000.0
2018-09-03,549750.0
2018-09-10,540000.0
2018-09-17,560000.0
2018-09-24,540000.0
2018-10-01,543000.0
2018-10-08,525000.0
2018-10-15,550000.0
2018-10-22,537500.0
2018-10-29,544262.5
2018-11-05,544262.5
2018-11-12,541762.5
2018-11-19,546050.0
2018-11-26,548250.0
2018-12-03,545000.0
2018-12-10,563000.0
2018-12-17,560000.0
2018-12-24,480340.0
2018-12-31,535625.0
2019-01-07,535000.0
2019-01-14,528625.0
2019-01-21,530000.0
2019-01-28,525000.0
2019-02-04,519500.0
2019-02-11,525000.0
2019-02-18,531000.0
2019-02-25,535000.0
2019-03-04,515000.0
2019-03-11,520000.0
2019-03-18,550593.7
2019-03-25,552000.0
2019-04-01,565000.0
2019-04-08,550406.2
2019-04-15,568000.0
2019-04-22,540000.0
2019-04-29,548625.0
2019-05-06,552875.0
2019-05-13,558750.0
2019-05-20,565117.8
2019-05-27,545000.0
2019-06-03,580000.0
2019-06-10,575471.5
2019-06-17,571460.0
2019-06-24,630000.0
2019-07-01,560261.5
2019-07-08,558628.2
2019-07-15,556460.0
2019-07-22,552000.0
2019-07-29,540000.0
2019-08-05,573750.0
2019-08-12,575000.0
2019-08-19,575000.0
2019-08-26,550380.0
2019-09-02,552880.0
2019-09-09,548750.0
2019-09-16,550000.0
2019-09-23,560000.0
2019-09-30,535000.0
2019-10-07,545000.0
2019-10-14,547875.0
2019-10-21,556875.0
2019-10-28,556750.0
2019-11-04,552000.0
2019-11-11,575000.0
2019-11-18,550000.0
2019-11-25,540000.0
2019-12-02,554916.6
2019-12-09,550000.0
2019-12-16,558625.0
2019-12-23,545000.0
2019-12-30,552250.0
2020-01-06,562250.0
2020-01-13,566000.0
2020-01-20,566483.3
2020-01-27,565000.0
2020-02-03,575000.0
2020-02-10,570000.0
2020-02-17,550000.0
2020-02-24,570379.1
2020-03-02,573950.0
2020-03-09,567825.0
2020-03-16,561075.0
2020-03-23,565075.0
2020-03-30,555000.0
2020-04-06,563000.0
2020-04-13,586500.0
2020-04-20,570000.0
2020-04-27,573250.0
2020-05-04,560000.0
2020-05-11,581000.0
2020-05-18,556500.0
2020-05-25,564000.0
2020-06-01,565000.0
2020-06-08,565000.0
2020-06-15,565000.0
2020-06-22,565000.0
2020-06-29,551250.0
2020-07-06,558775.0
2020-07-13,577000.0
2020-07-20,564187.5
2020-07-27,568625.0
2020-08-03,547000.0
2020-08-10,570000.0
2020-08-17,576875.0
2020-08-24,571250.0
2020-08-31,570000.0
2020-09-07,570000.0
2020-09-14,570000.0
2020-09-21,577265.2
2020-09-28,590000.0
2020-10-05,574061.0
2020-10-12,583812.5
2020-10-19,585479.1
2020-10-26,582187.5
2020-11-02,583687.5
2020-11-09,585000.0
2020-11-16,594750.0
2020-11-23,585000.0
2020-11-30,586000.0
2020-12-07,589250.0
2020-12-14,590500.0
2020-12-21,585000.0
2020-12-28,588000.0
2021-01-04,590000.0
2021-01-11,591250.0
2021-01-18,595000.0
2021-01-25,580000.0
2021-02-01,590000.0
2021-02-08,591000.0
2021-02-15,612250.0
2021-02-22,607500.0
2021-03-01,624500.0
2021-03-08,632000.0
2021-03-15,628000.0
2021-03-22,625000.0
2021-03-29,625000.0
2021-04-05,670000.0
2021-04-12,625000.0
2021-04-19,620000.0
2021-04-26,660000.0
2021-05-03,663296.2
2021-05-10,663800.9
2021-05-17,657500.0
2021-05-24,658750.0
2021-05-31,670000.0
2021-06-07,670000.0
2021-06-14,660000.0
2021-06-21,680000.0
2021-06-28,676402.7
2021-07-05,670290.2
2021-07-12,660000.0
2021-07-19,690000.0
2021-07-26,655000.0
2021-08-02,680000.0
2021-08-09,671000.0
2021-08-16,666250.0
2021-08-23,653583.3
2021-08-30,652333.3
2021-09-06,650000.0
2021-09-13,675000.0
2021-09-20,660000.0
2021-09-27,649000.0
2021-10-04,648500.0
2021-10-11,654000.0
2021-10-18,652500.0
