,Tourist_Spot,Address,Zipcode,coordinate
0,47th Street - The Diamond District,"47th St. betw. Fifth & Sixth Aves. Manhattan, NY 10036, Midtown West",10036,"(40.7442623, -73.9918052)"
1,9/11 Memorial & Museum,"World Trade Center (museum: 180 Greenwich St.) Manhattan, NY 1000, Lower Manhattan",10007,"(40.7115647, -74.0132182)"
2,Abyssinian Baptist Church,"132 Odell Clark Place New York, NY 10030, Harlem",10030,"(40.816662, -73.9415389)"
3,Alice Austen House Museum,"2 Hylan Blvd. Staten Island, NY 10305, Staten Island",10305,"(40.6151351, -74.06301789999999)"
4,Alice Tully Hall,"1941 Broadway Manhattan, NY 10023, Upper West Side",10023,"(40.7737028, -73.9826405)"
5,Alvin Ailey American Dance Theate,"405 W. 55th St. Manhattan, NY 10019, Midtown West",10019,"(40.7669453, -73.9868137)"
6,American Girl Place,"609 Fifth Ave. Manhattan, NY 10017, Midtown East",10017,"(40.7575084, -73.9772867)"
7,American Museum of Natural History,"Central Park West at 79th St. Manhattan, NY 10024, Upper West Side",10024,"(40.7765681, -73.9627935)"
8,Apollo Theater,"253 W. 125th St.  Manhattan, NY 10027, Harlem",10027,"(40.810033, -73.9500391)"
9,arts>Brookfield Place,"230 Vesey St. Manhattan, NY 10281, Battery Park City",10281,"(40.7140744, -74.0153339)"
10,Barclays Center,"620 Atlantic Ave. Brooklyn, NY 11217, Prospect Heights",11217,"(40.682658, -73.9752846)"
11,Bartow-Pell Mansion Museum,"895 Shore Rd. Bronx, NY 10464, Pelham Bay",10464,"(40.8719274, -73.8055009)"
12,Bateaux New York,"Pier 61, Chelsea Piers (23rd St. & Hudson River) Manhattan, NY 10011, Chelsea",10011,"(40.74735500000001, -74.0083691)"
13,Bronx Brewery,"856 East 136th Street NY 10454, South Bronx",10454,"(40.8019185, -73.9105843)"
14,Bronx Library Center,"310 E. Kingsbridge Rd. Bronx, NY 10458, Fordham",10458,"(40.863047, -73.894508)"
15,Bronx Zoo,"2300 Southern Blvd. Bronx, NY 10460, Fordham",10460,"(40.8501365, -73.8825112)"
16,Brooklyn Botanic Garden,"1000 Washington Ave. Brooklyn, NY 11225, Prospect Heights",11225,"(40.6676872, -73.96181299999999)"
17,Brooklyn Bridge,"Tillary St Brooklyn, NY 11201,Downtown Brooklyn",11201,"(40.6961605, -73.9858665)"
18,Brooklyn Heights Promenade,"Brooklyn-Queens Expressway Brooklyn , NY 11201, Brooklyn Heights",11201,"(40.6958087, -73.9981755)"
19,Brooklyn Historical Society,"128 Pierrepont St. Brooklyn, NY 11201, Brooklyn Heights",11201,"(40.6947963, -73.992441)"
20,Brooklyn Navy Yard,"63 Flushing Ave, bldg 292, unit 300 (main office) Brooklyn, NY 11205, Navy Yard",11205,"(40.6781784, -73.9441579)"
21,Brooklyn Nets,"The Barclays Center, 620 Atlantic Ave. Brooklyn, NY 11217, Prospect Heights",11217,"(40.6826465, -73.97541559999999)"
22,Brooklyn Public Library,"Grand Army Plaza at Flatbush Ave Brooklyn, NY 11238, Park Slope",11238,"(40.6743272, -73.9706674)"
23,Calvary Cemetery,"49-02 Laurel Hill Blvd. Queens, NY 11377, Woodside",11377,"(40.7351324, -73.9174048)"
24,Carnegie Hall,"57th St. and Seventh Ave. Manhattan, NY 10019, Midtown West",10019,"(40.7655327, -73.9800175)"
25,Cathedral Church of St. John the Divine,"1047 Amsterdam Ave. Manhattan, NY 10025, Morningside Heights",10025,"(40.8038206, -73.9618358)"
26,Central Park Conservancy—Official Central Park Tours,"14 E. 60th St., 8th fl. New York, NY 10022, Upper East Side",10022,"(40.7643025, -73.9717568)"
27,Charles A. Dana Discovery Center/Harlem Meer,"106th to 110th Sts on the east side of the park Manhattan, NY 10029, Central Park",10029,"(40.7825547, -73.9655834)"
28,Chelsea Craft Brewing Company,"463 East 173rd Street NY 10457, The Bronx",10457,"(40.8417785, -73.9011773)"
29,Chelsea Piers Sports & Entertainment Complex,"23rd St. & Hudson River Park Manhattan, NY 10011, Chelsea",10011,"(40.7330699, -74.011028)"
30,Chrysler Building,"405 Lexington Ave Manhattan, NY, Midtown East",10174,"(40.7517105, -73.9755995)"
31,Circle Line Downtown,"Pier 16 at S. St. Seaport Manhattan, NY 10038, Lower Manhattan",10038,"(40.7057091, -74.0030858)"
32,Circle Line Sightseeing Cruises,"Pier 83, 42nd St. and Twelfth Ave. Manhattan, NY 10036, Hells Kitchen",10036,"(40.7626847, -74.0014928)"
33,City Hall,"City Hall  Broadway and Murray St. Manhattan, NY 10007, Lower Manhattan",10007,"(40.7135245, -74.00671009999999)"
34,City Hall Park,"Broadway and Chambers St Manhattan, NY 10007, Lower Manhattan",10007,"(40.7141829, -74.0063069)"
35,Classic Harbor Line LLC,"Chelsea Piers, Pier 62 (22nd St. & Hudson River) Manhattan, NY 10011, Chelsea",10011,"(40.7481792, -74.0086142)"
36,Clove Lakes Park,"1150 Clove Rd. Staten Island, NY, Randall Manor",10301,"(40.61769719999999, -74.108167)"
37,Coney Island Brewing Company,"1904 Surf Ave. Brooklyn, NY 11224, Coney Island",11224,"(40.57475000000001, -73.9844262)"
38,Coney Island Circus Sideshow,"Surf Avenue Brooklyn, NY 11224, Coney Island",11224,"(40.5742968, -73.9888676)"
39,Delacorte Theate,"Mid-park at 80th St Manhattan, NY 10024, Central Park",10024,"(40.7746939, -73.9565567)"
